name,major,score,activity,achievement,nonacademic_achievement,accept_status
Fay Massey,ipa,86,Yes,Yes,No,No
Rebecca Sullivan,ipa,85,No,Yes,Yes,No
Lamar Dillard,ipa,86,Yes,Yes,No,No
Honorato Love,ips,94,No,No,Yes,Yes
Tobias Brennan,ips,90,Yes,No,Yes,Yes
Aphrodite Randolph,ipa,89,Yes,Yes,No,Yes
Harriet O'Neill,ipa,97,Yes,No,No,Yes
Rafael Dunlap,ipa,82,Yes,Yes,Yes,No
Hammett Tyson,ipa,85,Yes,No,No,No
Uriel Bradford,ipa,93,Yes,No,No,Yes
Stone Shields,ips,95,No,No,No,Yes
Talon Valdez,ipa,93,Yes,Yes,Yes,Yes
Owen Wagner,ips,89,No,Yes,Yes,Yes
Roth Gregory,ips,95,Yes,Yes,Yes,Yes
Damon Peters,ips,92,Yes,No,Yes,Yes
Nicole Castro,ipa,94,Yes,Yes,No,Yes
Gary Green,ipa,93,Yes,No,Yes,Yes
Vivian Quinn,ipa,86,No,Yes,Yes,No
Kenyon Bolton,ipa,97,Yes,Yes,Yes,Yes
Chastity Kelly,ipa,88,Yes,No,Yes,Yes
Aquila Juarez,ips,87,Yes,Yes,Yes,No
Fleur Burns,ipa,81,Yes,Yes,No,No
Mohammad Butler,ips,93,No,Yes,Yes,Yes
Genevieve Castro,ipa,97,No,No,Yes,Yes
Rebekah Yang,ips,81,No,No,No,No
Margaret Mcintosh,ips,84,No,Yes,Yes,No
Rhonda Hurst,ipa,87,No,No,No,No
Lareina Workman,ipa,87,No,Yes,Yes,No
Porter Fitzgerald,ips,84,Yes,No,Yes,No
Brenda Hatfield,ipa,94,No,Yes,Yes,Yes
Oren Kerr,ips,97,No,Yes,Yes,Yes
Alec Terrell,ips,86,No,No,Yes,No
Stacy Cardenas,ips,96,No,No,No,Yes
Thaddeus Lambert,ipa,96,No,Yes,No,Yes
Chelsea Wilcox,ipa,90,Yes,No,No,Yes
Winifred Chen,ipa,94,Yes,Yes,No,Yes
Thor Nash,ips,87,No,No,No,No
Bradley Yang,ipa,81,No,No,No,No
Kirsten Jacobson,ipa,94,Yes,Yes,Yes,Yes
Azalia Hooper,ipa,96,No,No,No,No
Nathaniel Hardy,ipa,86,No,Yes,No,No
Noble Gilliam,ipa,91,No,Yes,Yes,Yes
Shay Simpson,ipa,94,No,No,No,Yes
Signe Griffin,ips,81,Yes,No,Yes,No
Camilla Leon,ipa,81,Yes,Yes,Yes,No
Quon Patterson,ipa,96,Yes,No,No,Yes
Harlan Curry,ipa,86,Yes,No,No,No
Genevieve Garrett,ips,97,No,No,Yes,Yes
Kaseem Hale,ipa,91,No,No,No,Yes
Hollee Whitfield,ips,88,No,No,No,Yes
Adam Ferrell,ipa,98,No,No,No,Yes
Lois Hogan,ipa,84,No,Yes,No,No
Hamilton Richmond,ipa,98,No,No,No,Yes
Damian Payne,ipa,96,No,No,Yes,Yes
Ferris Russell,ips,88,Yes,Yes,Yes,Yes
Nyssa Logan,ipa,94,No,Yes,No,Yes
Ezra Harmon,ips,93,Yes,No,Yes,Yes
Thaddeus Callahan,ips,80,Yes,No,No,No
Ivana Thompson,ipa,88,No,Yes,No,Yes
Ginger Beasley,ipa,89,Yes,No,No,Yes
Lael Pittman,ips,95,No,Yes,No,Yes
Price Boyer,ipa,87,Yes,Yes,Yes,No
Wayne Garza,ipa,87,No,Yes,Yes,No
Eric Bradfordo,ips,81,No,No,Yes,No
Lewis Solomon,ips,86,Yes,Yes,No,No
Chava Hendricks,ips,81,Yes,No,Yes,Yes
Kirestin Castillo,ips,95,No,Yes,No,Yes
Porter Mcmahon,ips,80,No,No,No,No
Willow Bowman,ipa,87,No,Yes,No,No
Paki Bridges,ips,83,Yes,Yes,No,No
Ira Fernandez,ipa,88,Yes,Yes,No,Yes
Gavin Burks,ips,96,Yes,Yes,No,Yes
Vladimir Flores,ips,87,No,Yes,No,No
Daphne Downs,ipa,91,Yes,No,No,Yes
Roanna Mullins,ipa,87,Yes,No,Yes,No
Shana Palmer,ipa,87,Yes,No,No,No
Imogene Holden,ips,88,No,No,No,Yes
Cheyenne Hewitt,ipa,83,Yes,Yes,No,No
Sasha Daniels,ipa,90,No,No,No,Yes
Alma Whitehead,ips,97,Yes,No,No,Yes
Gareth Lowe,ips,81,Yes,Yes,No,No
Ivor Key,ipa,86,No,Yes,Yes,No
Samson Gay,ips,89,Yes,Yes,No,Yes
Christen Murphy,ipa,84,No,Yes,No,No
Haviva Le,ipa,81,Yes,No,No,No
Jillian Snyder,ips,84,No,No,No,No
Lana Mckenzie,ipa,84,Yes,No,Yes,No
Andrew Howe,ipa,87,No,No,Yes,No
Pearl Valenzuela,ips,89,No,Yes,Yes,Yes
Anika Dillard,ips,93,Yes,Yes,Yes,Yes
Martha Snyder,ips,95,Yes,Yes,No,Yes
Jack Burgess,ips,90,No,Yes,Yes,Yes
Lani Nolan,ips,81,Yes,No,No,No
Joan Kelley,ips,83,No,No,Yes,No
Theodore Sharpe,ips,82,No,No,Yes,No
Sigourney Mcdonald,ipa,97,Yes,Yes,Yes,Yes
Echo Fisher,ips,95,Yes,Yes,Yes,Yes
Cruz Maddox,ipa,85,Yes,Yes,Yes,No
Ignacia Levy,ipa,80,No,Yes,No,No
Nora Douglas,ips,83,Yes,No,No,No
Amos Munoz,ipa,88,Yes,No,No,Yes
Shannon Hammond,ipa,93,No,Yes,Yes,Yes
Allen Potter,ips,82,Yes,No,No,No
Calvin Hubbard,ipa,91,No,Yes,No,Yes
Ahmed Rhodes,ipa,88,Yes,Yes,No,Yes
Selma Mccullough,ips,98,Yes,No,Yes,Yes
Lee Meyer,ips,97,No,No,No,Yes
Glenna Cannon,ipa,95,No,No,No,Yes
Plato Gray,ipa,95,No,No,Yes,Yes
Priscilla Hess,ipa,84,No,No,No,No
Yoko Holland,ipa,98,No,Yes,Yes,Yes
Quintessa Black,ipa,82,No,Yes,Yes,No
Garrison Sykes,ipa,88,No,No,Yes,Yes
Rhona Cervantes,ipa,82,No,No,No,No
Kareem Berg,ips,87,No,No,No,No
Emily Hancock,ips,96,Yes,No,No,Yes
Ivor Olson,ipa,89,No,No,Yes,Yes
Cally Gilliam,ips,80,No,Yes,Yes,No
Karly Merrill,ipa,90,Yes,Yes,Yes,Yes
Alvin Bowman,ips,94,Yes,Yes,Yes,Yes
Maxine Cooke,ipa,95,No,Yes,No,Yes
Jordan Richards,ips,81,No,Yes,No,No
Orlando Slater,ips,81,No,No,No,No
Mufutau David,ips,89,Yes,Yes,Yes,Yes
Axel Perry,ips,96,No,No,No,Yes
Oren Lester,ipa,97,Yes,No,Yes,Yes
Robert Roach,ipa,96,Yes,No,No,Yes
Trevor Fitzgerald,ipa,82,No,No,No,No
Gwendolyn Hendrix,ips,98,No,Yes,No,Yes
Jillian Barlow,ipa,93,No,No,Yes,Yes
David Murray,ips,86,No,Yes,No,No
Howard Guthrie,ips,82,No,No,No,No
Keefe Mcneil,ips,90,No,No,No,Yes
Cassidy Lang,ips,93,No,No,Yes,Yes
Raya Chang,ips,85,Yes,No,No,No
Marshall Burnett,ips,83,Yes,No,No,No
Gary Conner,ipa,92,No,Yes,Yes,Yes
Nelle Oliver,ipa,80,Yes,No,No,No
Karly Boone,ipa,89,No,No,No,Yes
Lee Chapman,ipa,84,No,Yes,Yes,No
Logan Townsend,ips,96,No,No,No,Yes
Denise Reynolds,ipa,89,Yes,Yes,Yes,Yes
Curran Tyler,ips,96,Yes,Yes,Yes,Yes
Caesar Stark,ips,90,Yes,No,Yes,Yes
Lane Moss,ips,93,Yes,Yes,Yes,Yes
Macaulay Webster,ips,84,Yes,Yes,Yes,Yes
Flynn Maxwell,ips,97,Yes,No,Yes,No
Patricia Frederick,ipa,83,Yes,Yes,No,No
Duncan Vance,ips,86,Yes,Yes,No,No
Len Buchanan,ipa,89,Yes,No,Yes,No
Signe Nolan,ipa,98,Yes,Yes,No,No
Kermit Saunders,ipa,89,No,Yes,No,Yes
Tyrone Austin,ips,85,No,Yes,No,No
Cyrus Hobbs,ipa,83,No,No,No,No
Hedley Glenn,ipa,92,Yes,Yes,No,Yes
Lucas Cruz,ips,98,Yes,Yes,No,No
Arthur Norris,ips,84,No,No,No,Yes
Maya Acosta,ipa,91,No,No,Yes,Yes
Nash Weaver,ipa,88,Yes,Yes,No,Yes
Todd Downs,ipa,88,Yes,No,No,Yes
Kessie Dillard,ipa,93,No,Yes,No,Yes
Lars Carroll,ips,81,No,Yes,Yes,No
Aretha O'brien,ips,82,Yes,No,No,Yes
Robin Irwin,ips,84,Yes,Yes,No,No
Kai Morales,ips,87,No,Yes,No,Yes
Alexander Callahan,ipa,97,Yes,No,No,Yes
Amethyst Little,ipa,94,Yes,No,Yes,No
Wanda Mcmillan,ips,89,Yes,No,No,Yes
Bruce Swanson,ips,87,No,No,No,Yes
Burton Farmer,ips,90,Yes,No,Yes,Yes
Lawrence Parsons,ipa,84,Yes,Yes,Yes,Yes
Hannah Cooke,ipa,81,No,No,Yes,Yes
Dalton Alexander,ips,84,Yes,Yes,Yes,No
Zeus Logan,ipa,81,Yes,No,Yes,No
Cedric Valentine,ipa,84,Yes,Yes,No,No
Warren Logan,ipa,84,Yes,No,No,Yes
Rinah Ewing,ips,92,Yes,Yes,No,No
Benedict Cote,ips,91,Yes,No,No,No
Bert Byrd,ipa,93,Yes,No,No,No
